20H40M20S -  + Thread Pacote #D2 inicializado no ponto de redistribuição #R2

20H41M15S -  + Thread Pacote #D2 inicializado no ponto de redistribuição #R2
20H42M54S -  + Thread Pacote #D2 inicializado no ponto de redistribuição #R1
20H43M40S -  + Thread Pacote #D2 inicializado no ponto de redistribuição #R1
20H44M39S -  + Thread Pacote #D2 inicializado no ponto de redistribuição #R0
20H45M06S -  + Thread Pacote #D2 inicializado no ponto de redistribuição #R3
20H48M37S -  + Thread Pacote #D2 inicializado no ponto de redistribuição #R3
20H49M59S -  + Thread Pacote #D2 inicializado no ponto de redistribuição #R3
20H51M33S -  + Thread Pacote #D2 inicializado no ponto de redistribuição #R1
20H51M54S -  + Thread Pacote #D2 inicializado no ponto de redistribuição #R3
20H52M43S -  + Thread Pacote #D2 inicializado no ponto de redistribuição #R2
20H53M58S -  + Thread Pacote #D2 inicializado no ponto de redistribuição #R1
20H54M18S -  + Thread Pacote #D2 inicializado no ponto de redistribuição #R1
20H55M03S -  + Thread Pacote #D2 inicializado no ponto de redistribuição #R2
20H55M06S - => Encomenda D2 foi carregada no veículo V0 (Tempo para carregar: 2.81 segundos.

